name,description,greeting,noun,image
hello world,A text based NFT with a “hello world” greeting,hello,world,hello_world.png
hello flower,A text based NFT with a “hello flower” greeting,Hello,flower,hello_flower.png
hello sky,A text based NFT with a “hello sky” greeting,Hello,sky,hello_sky.png
hello bee,A text based NFT with a “hello bee” greeting,hello,bee,hello_bee.png
hello web3,A text based NFT with a “hello web3” greeting,hello,web3,hello_web3.png
gm world,A text based NFT with a “gm world” greeting,gm,world,gm_world.png
gm flower,A text based NFT with a “gm flower” greeting,gm,flower,gm_flower.png
gm sky,A text based NFT with a “gm sky” greeting,gm,sky,gm_sky.png
gm bee,A text based NFT with a “gm bee” greeting,gm,bee,gm_bee.png
gm web3,A text based NFT with a “gm web3” greeting,gm,web3,gm_web3.png
goodnight world,A text based NFT with a “goodnight world” greeting,goodnight,world,goodnight_world.png
goodnight flower,A text based NFT with a “goodnight flower” greeting,goodnight,flower,goodnight_flower.png
goodnight sky,A text based NFT with a “goodnight sky” greeting,goodnight,sky,goodnight_sky.png
goodnight bee,A text based NFT with a “goodnight bee” greeting,goodnight,bee,goodnight_bee.png
goodnight web3,A text based NFT with a “goodnight web3” greeting,goodnight,web3,goodnight_web3.png
